"species","compound_name","Orbi_1231","Orbi_1232","Orbi_1233","Orbi_1234","Orbi_1236","Orbi_1237","Orbi_1238","Orbi_1240","Orbi_1241","Orbi_1242","Orbi_1243","Orbi_1244","Orbi_1245","Orbi_1246","Orbi_1247","Orbi_1280","Orbi_1281","Orbi_1282","Orbi_1283","Orbi_1284","Orbi_1285","Orbi_1286","Orbi_1287","Orbi_1288","Orbi_1290","Orbi_1291","Orbi_1292","Orbi_1293","Orbi_1296","Orbi_1297","Orbi_1299","Orbi_1309","Orbi_1310","Orbi_1312","Orbi_1315","Orbi_1316"
"BLL","BLL 24:0 +3O",313996.789194679,437691.530343053,431647.331233789,166141.736115619,450012.176654466,225156.610441182,267403.141365006,224882.47085113,351354.150626707,446975.214553909,583225.053974238,283320.20852546,247431.392688726,711025.173690136,276853.052128381,984601.36837427,1741733.12709547,821844.695215707,1340891.3114043,795340.070092058,1150967.8059155,945562.261309521,1485158.66142357,1231857.78441311,1892784.56890376,1536798.72263328,1449840.48997746,1525249.14244564,1739337.8889307,727581.911400897,1175413.49376949,180621.176702818,900776.48137122,954688.361128906,849505.821314302,657286.932699403
"BLL","BLL 26:2 +4O",0,436843.865228507,0,811989.064225582,357738.150279153,460981.799396722,472196.667528458,0,644807.544053568,0,0,0,0,0,27060.388318123,1411425.25755736,0,408045.867008648,0,1641898.93328391,0,0,273912.704014371,0,0,0,32156.725487176,0,0,1044916.59488508,42703.9126630745,1087316.97937007,27699.5423944055,0,17533.2496624271,0
"BLL","BLL 32:1 +3O",728627.496840107,1243783.5570622,183576.87665157,2396081.84320895,1865041.43016724,1821580.02993923,1822958.95854585,681347.001541118,1863166.99805859,1598916.03275611,1036516.04107565,471814.191309543,227239.701993673,1305399.95017933,1737936.57528461,1198862.01251273,799509.934790412,537321.647366625,77322.0794580345,2689668.15994123,851056.54744963,2783350.21123985,19721331.1018534,1278883.38371951,136069.458217539,634202.284202132,430389.710018746,4206101.87901249,1142404.51327697,1666248.14234243,1221888.06072088,2288900.40053487,983685.462548059,481108.476341436,1061536.78209047,2471804.72360705
"BLL","BLL 32:6 +4O",0,0,0,103028.863587044,193977.01330376,88617.957090544,255215.090262362,0,214783.014808193,0,0,43790.6794808465,0,0,0,494582.402145735,157003.72570561,646103.281254769,191835.408026702,718755.000126697,271350.389943204,19731.4614508148,491373.02875362,119187.821691531,360255.298406712,370745.080707041,27754.9446259207,376736.835453034,2353535.6830972,378393.90141536,246956.079638805,893348.485252092,607810.321606451,43747.1962969321,577260.133983346,405932.884751849
"BLL","BLL 42:11",88493.5114008238,265575.410690272,738797.192655154,0,0,421218.858162324,437252.187541306,3207190.56475478,280659.518266285,5339271.91595092,2585407.31863417,1169629.48592835,3244659.6820838,239733.094185108,388748.34195578,36093.9606506037,260285.625344388,47637.9565525345,59722.5569969509,0,6158473.66129721,152040.704288166,148122.554880053,1081539.49923858,459696.594581102,385407.57522763,71765.3653807334,346520.832362949,3215753.00537249,125289.257223132,1214998.91864055,689502.062905359,920476.172842687,210182.39282251,1597454.54777062,2959001.99978777
"BLL","BLL 42:3 +4O",0,92109.5437141417,0,3387623.07149652,1323106.05633923,192605.831790551,584078.902058716,0,808021.69963842,0,0,171392.793899125,0,0,88610.8836270482,8390278.36795693,976313.860049234,3489653.38601844,1847975.12886306,6933486.62766082,0,609355.481994586,2064804.5873537,0,0,135924.050064813,126158.850313438,720962.452669977,0,6473194.5801756,1363464.53924555,1365714.68783372,113949.762592549,25207.2943679395,165584.625451937,137483.424409883
"DAG","DAG 24:4",29974567.5647882,26233191.4378421,30961143.3774105,22437764.8931523,28501200.3163248,16903739.4752789,28420928.5801821,32146400.8651069,20887420.8686176,30972926.4856501,23547195.2013008,17142779.4498041,26067384.1007823,30941835.0671406,33182840.3331268,20804840.8020137,23173817.5136474,10751031.8926838,23553877.3735485,28178192.2437067,24564866.4696054,26729363.2209557,28640464.2095855,22729984.3867339,19412189.6351025,26520364.2487962,24894436.7863664,27831271.0199191,14983605.6380818,29037944.40317,8710530.41541038,35225292.2371215,33460071.6773744,41545768.1701111,34415370.3045634,34758624.7179665
"DAG","DAG 26:4",4851488.46182326,5158517.22759639,5498980.03448561,3569840.17060257,3768177.12123745,2588800.22027378,3784281.71129477,3695591.9025423,2431302.15494379,3841721.91943269,2896686.07317055,2100726.05818619,2760494.92485923,3197996.92226579,4201086.27120662,3182514.46806533,2889872.59596502,1774114.83194949,3492733.29105315,3842876.96409067,2942970.51692691,3596628.53931655,3890066.88161859,2523335.52218726,1570990.5417958,2704425.23175153,2641526.91523012,3357813.41175413,2115826.2030415,4235076.04638774,1523941.46796809,5658009.67787594,6372783.90192899,4630839.27889121,6612545.27197159,4820997.4677439
"DAG","DAG 28:0",426056.782041879,397498.373257298,0,4578219.0747522,2432218.00492139,800054.832940969,1039419.84430168,317984.139803154,385667.130764931,228642.033339394,138158.304932502,3252254.42077789,56907.3635776823,0,957183.007078652,4828302.07324917,957993.009142518,739642.739205066,605775.579997199,3982226.6023089,710160.056317377,1215545.24244978,833474.950424919,158246.112755366,0,465133.883648406,1467313.82792863,1298489.23927544,111801.173964822,2611562.4462876,1585464.37324869,1490715.16641342,6074028.07492946,110364.030823406,4224325.14388739,1265988.02246529
"DAG","DAG 28:2",16749690.7085637,23302803.3460031,4862385.25938025,72666187.3647264,51378437.6451494,23676022.1758124,30972990.3109398,8429777.30406638,27071394.8540759,17529256.1311133,3159598.68430427,71369410.101953,10621210.0346763,4466090.72316154,28497701.2059152,74642473.9564846,23673362.6320713,16384932.2351961,14326844.6074558,56262741.4326768,18565183.8088154,29056203.5346883,24839734.5789376,5238589.09821828,1584625.67883682,13948369.0971741,27793784.4304802,32366473.4377003,5396829.99683793,55735223.1012905,32698352.7491948,40338901.0276029,95814296.1260181,3014173.56032628,75898624.9029468,27821603.7979027
"DAG","DAG 28:3",4029503.97655417,4239971.4554952,958687.531652742,40787954.6685337,24465797.1036253,4048901.02303602,5711928.65901354,1019965.1450989,5186632.60559495,3166407.03770911,643873.352777591,15953687.4342698,1505179.01179029,640704.48302437,7084780.86255391,38314518.6359567,4797329.13982627,5718384.06984826,4869419.67201543,28402369.1264951,2897899.43265735,6872347.28157706,9523653.06837804,895052.378598907,284289.060470268,1998485.89896315,7056350.19078983,7523426.60500881,1212965.76745809,22571340.1778778,5575805.19494289,7914503.65147255,21997197.9989385,517968.596894653,14705587.1575106,5761513.83647325
"DAG","DAG 28:4 +1O",708739.988777027,135599.108517972,649604.746163841,679982.806262154,612044.218785334,205126.434920844,455891.633761289,514225.508864775,272123.003223827,584910.62457603,177473.128238697,278363.859509499,679697.534924378,707091.95409601,750514.639244112,846263.988900101,564118.653612252,208951.864790916,420002.963964195,663857.287506816,349104.055939814,477690.613354549,580572.461326262,704837.968325256,209961.727677238,573317.158686009,485671.682931064,538252.884701489,123718.551246996,681329.605091089,493001.657389613,888309.847970079,603652.05854918,812875.87495679,543651.395996858,741932.474519877
"DAG","DAG 28:4 +3O",79048.4031990525,2433342.36183246,0,3187609.12485938,2788334.81712461,2124265.05117051,1727502.93985247,0,1983179.0264771,75752.6881281884,0,21488.1219517269,50332.3720486263,53799.0798863672,395220.646999215,1994431.54986829,53277.5163828607,704144.14903818,83581.0796238168,4452064.32489345,26944.157498874,222488.255888002,601820.664261318,0,0,19374.9412747504,87295.4109492853,116168.491170767,20125.3014796121,2391049.29010186,307728.529542879,3693266.9970154,152535.55842233,60828.7858878333,70694.5400681506,108419.648365037
"DAG","DAG 28:5 +1O",874110.83455703,171235.777963218,141721.100098529,132395.768528706,168714.10223519,111438.157597765,145755.025119613,218568.226922391,82619.3859890521,1738316.90445052,494880.800349215,2080708.97256622,232038.003434143,214554.574463249,3481044.5811308,177719.421246691,956901.21090622,60759.9037677262,168220.407329833,288412.341274513,1997823.83079991,3016294.76046981,39654.893134154,178029.78558923,237889.213409815,433497.392095327,1011031.1244202,2043467.01010466,154045.05852431,230237.474578445,16422685.8270404,98591.9053815502,4599194.53949327,185411.945801206,3236584.88819597,1457754.14226809
