"species","compound_name","Station 1","Station 2","Station 4","Station 6","Station 7","Station 8","Station 9","Station 10","Station 11"
"BLL","BLL 24:0 +3O",1175413.49376949,4651966.12742908,4354394.55955729,5230065.47830386,1462226.60947877,4003644.06088323,1055538.91751409,2767927.86979765,4803780.99217439
"BLL","BLL 26:2 +4O",42703.9126630745,59217.113805299,45232.7920568327,0,3102146.85557733,1676567.44917861,0,4273359.1220755,0
"BLL","BLL 32:1 +3O",1221888.06072088,7466812.41990407,6451301.4199262,3728446.55170026,9040389.94414074,23329942.7538211,1945102.74461044,6821933.66302953,5639814.09800503
"BLL","BLL 32:6 +4O",246956.079638805,91233.6023736676,1753981.84151402,2985141.37144711,1451964.54741319,1255579.35149944,0,1962469.54711424,904485.641865684
"BLL","BLL 42:11",1214998.91864055,1150963.41003312,8466898.89822316,15173195.1772017,2094208.03756555,333134.369100136,9037257.56547275,83731.9172031382,992214.032934967
"BLL","BLL 42:3 +4O",1363464.53924555,849332.510303012,588410.606353494,0,3042530.66503555,11709080.3527316,0,22201041.4531327,1833200.36278402
"DAG","DAG 24:4",8710530.41541038,187268811.142489,173467973.913853,89933588.2284397,127670572.599042,109733486.302629,81760980.16719,82171829.8315564,77525452.7823627
"DAG","DAG 26:4",1523941.46796809,23119566.3887335,27929368.2565035,10471509.1811969,19620910.9919847,15386053.3402969,9352772.90057208,12369346.4347081,8952111.23947067
"DAG","DAG 28:0",1585464.37324869,4176462.89032235,14974841.7748154,1050603.26362159,4113355.3476783,6483030.98163111,513049.808313338,14128390.4895153,2721616.13206636
"DAG","DAG 28:2",32698352.7491948,109577644.163135,281004909.286419,43075895.6156035,145362111.714434,146280239.932833,22210586.023047,219956334.989084,69988205.1669456
"DAG","DAG 28:3",5575805.19494289,26201655.391394,60271726.3374438,7561561.29829482,27101937.3946123,61430210.0218966,3169017.50966678,113223226.500834,14319241.6437982
"DAG","DAG 28:4 +1O",493001.657389613,3942584.75335955,3522042.50306451,1267694.95944008,1957050.02839401,2293949.24916688,1371396.17202785,2399055.94745999,1675688.69699975
"DAG","DAG 28:4 +3O",307728.529542879,898680.582809755,353137.868807245,122822.147106675,11961556.376348,5864785.85111161,50332.3720486263,10338249.1486593,188820.948828378
"DAG","DAG 28:5 +1O",16422685.8270404,8782447.8208423,11693993.4282113,4128075.00718456,609640.252051198,606826.877277622,945487.030705749,659287.434817637,3433865.6131062
"DAG","DAG 28:6 +1O",741950.320042679,2240902.8889473,4096090.96245949,1408646.43170757,3207848.79507732,1733101.27529974,398972.238648691,4380939.2031792,912955.021572194
"DAG","DAG 28:7 +1O",505387.376570298,8540259.72199629,5065030.34332337,19534.8489164726,7685166.30873117,6700018.61877319,36866.1794856057,15623472.2501267,602127.625466041
"DAG","DAG 28:7 +3O",1875276.46995055,12793622.2536875,17436491.6909747,353013.435409498,19302489.8488124,10055230.3610196,452175.763512614,9037543.12023913,1454761.54215527
"DAG","DAG 30:1",5412621.17666927,8065064.64840089,6904703.03359407,605215.745015666,545021.844388201,1103692.98446589,163453.04993095,4932388.34116067,5882242.83178213
"DAG","DAG 30:2",68548845.1720587,218873858.325403,530548226.544919,40685408.2092695,218832949.744899,245245913.239897,26139065.9349425,364222993.626654,168363730.26893
"DAG","DAG 30:3",35598187.8189589,171072576.158225,424569106.898809,25365266.0354027,229933512.133216,262533513.438554,14492322.5161464,414051059.386731,100681437.861247
"DAG","DAG 32:0",1100340.02036535,1736228.16212569,2199847.46526943,2775386.012513,4915704.22062843,1180491.18244024,105395.711004863,4975121.78981206,1173562.97666788
"DAG","DAG 32:1",1987897.9825205,3897202.42772437,2825019.54512353,1781282.43550904,2545275.18693936,2331912.8392815,1155658.49882103,5801917.87775611,2171991.24926869
"DAG","DAG 32:2",2543179.18664022,9318428.1916588,16803954.1246587,1142074.96774009,8410913.98407701,10633317.3800045,789472.475124787,13535078.6220209,6674713.01733301
"DAG","DAG 32:4",5550866.97260135,6927512.30621504,4590164.32948364,1704170.49250088,1971688.79560911,3521598.1260169,608628.947990823,10275976.0787493,3724405.71694237
"DAG","DAG 32:5",759568.37285665,6505990.03093247,6392177.56754498,3351471.94192964,7114445.92813095,8730252.25641278,3372679.26935948,7961206.38318393,2115690.5947816
"DAG","DAG 32:8 +1O",4741924.47885422,35128911.5750769,28947296.9918394,9810524.83982831,51524667.8937402,43803965.4114178,3096166.43693333,121663756.091171,7552411.44689528
"DAG","DAG 34:1",2746633.79170026,12137968.5949308,10891225.6487146,5413600.03193348,11204373.9000205,9155551.29831381,4095202.4206147,4588916.29795783,3394008.14031327
"DAG","DAG 34:9",3041666.74615674,5600706.74194208,16291243.4177198,8068868.44287862,10192749.7713213,8233679.38779284,3032666.04487827,4333318.12201391,2211977.66517062
"DAG","DAG 34:9 +1O",676580.808052092,4513151.01246428,7125952.71861682,412350.978462113,4262073.30208558,4925516.43417406,78295.411959528,2482260.54909361,1398947.11569448
"DAG","DAG 36:0 +3O",0,33229.7627068336,0,0,1261534.22213924,10633405.1616604,0,48136948.9914809,0
